Sample	QualiMap_mqc-generalstats-general_error_rate	QualiMap_mqc-generalstats-percentage_aligned	QualiMap_mqc-generalstats-10_x_pc	QualiMap_mqc-generalstats-median_coverage	QualiMap_mqc-generalstats-30_x_pc	QualiMap_mqc-generalstats-median_insert_size	QualiMap_mqc-generalstats-mapped_reads	QualiMap_mqc-generalstats-50_x_pc	QualiMap_mqc-generalstats-1_x_pc	QualiMap_mqc-generalstats-total_reads	QualiMap_mqc-generalstats-avg_gc	QualiMap_mqc-generalstats-5_x_pc
BRB101_S20_L001	0.55	99.6064413813	0.425629235806	0	0.388862701286	214	2203923.0	0.367590634884	0.605829401967	2212631.0	49.0869727447	0.44580328686
BRB102_S24_L001	0.47	99.7835606023	0.39556172688	0	0.371224273302	155	2635208.0	0.356937622065	0.529723354694	2640924.0	45.9926974751	0.410948657414
BRB104_S21_L001	0.43	99.6782343887	0.429268534097	0	0.39344833033	215	2475184.0	0.372269085844	0.589594622469	2483174.0	48.7237267862	0.447993657682
BRB106_S19_L001	0.4	99.61599819	0.375680857243	0	0.343475048326	139	1461806.0	0.322567477741	0.667749543741	1467441.0	44.4444082328	0.395528899617
BRB108_S1_L001	0.51	99.6814492472	0.381450531703	0	0.346182731533	174	1099294.0	0.322851603362	0.498806864828	1102807.0	44.8133123403	0.39849240908
BRB10_S11_L001	0.46	99.7927496348	0.380472505662	0	0.353156826951	155	1497972.0	0.335183334491	0.511029926397	1501083.0	44.7959116386	0.393806034298
BRB111_S2_L001	0.48	99.7367726236	0.394587096762	0	0.367864572734	166	2111608.0	0.351249449775	0.58938520717	2117181.0	45.4421230522	0.410718866573
BRB113_S3_L001	0.49	99.7178336359	0.387243977629	0	0.362986894247	144	2569931.0	0.349386219609	0.581091229386	2577203.0	44.6601296842	0.400772205894
BRB114_S22_L001	0.44	99.7332955754	0.421194159382	0	0.384993612154	197	2148325.0	0.364053214306	0.590733388901	2154070.0	48.291294336	0.439962298002
BRB118_S20_L001	0.55	99.5892778474	0.369839868385	0	0.333236338204	141	1175512.0	0.307172623385	0.581452329279	1180360.0	44.0280315744	0.389365298001
BRB11_S12_L001	0.5	99.7489113507	0.3740259104	0	0.339658030025	164	1055535.0	0.314240672694	0.478691676453	1058192.0	43.8702659013	0.390559531189
BRB120_S23_L001	0.41	99.7841724635	0.415821808002	0	0.383567324177	178	2533122.0	0.365330081638	0.583078976757	2538601.0	47.6368598435	0.433897178175
BRB121_S24_L001	0.43	99.7662305378	0.404368489151	0	0.37248529299	165	2127031.0	0.355498882368	0.555854987988	2132015.0	47.2031760587	0.423224921788
BRB122_S4_L001	0.55	99.6701147344	0.374881683186	0	0.334807518928	183	886164.0	0.301073544321	0.488296480806	889097.0	43.8849045925	0.393472101796
BRB123_S5_L001	0.47	99.7627767889	0.381500338585	0	0.351458865074	163	1312097.0	0.332742797285	0.519931774533	1315217.0	45.3845758964	0.396478626294
